DateStamp (yyyydddhhmmssmm),Latitude (degrees),Flash Longitude (degrees),Flash Strength (Total Mj)
20211400000200,30.644,-54.2063,101
20211400000200,29.2418,-52.8841,3157
20211400001000,28.3655,-52.5642,634
20211400001000,30.6337,-54.2157,611
20211400001200,34.5695,-57.9413,1226
20211400002000,34.5733,-57.9368,83
20211400002000,30.614,-54.1696,7550
20211400002000,30.6717,-54.15,852
20211400002400,30.6067,-54.2374,86
20211400002400,28.3247,-52.5777,246
20211400003000,30.9444,-54.8677,1159
20211400003000,34.5744,-57.9302,343
20211400003200,30.1018,-55.1262,1647
20211400003200,30.6364,-54.2176,194
20211400003200,34.5657,-57.9749,1527
20211400003400,30.3726,-54.1985,43
20211400004000,34.5842,-57.9343,8
20211400004200,30.6013,-54.1844,2341
20211400004200,29.2517,-52.8625,3592
20211400004200,30.105,-55.1036,274
20211400004400,30.3709,-54.1828,101
20211400004400,30.6213,-54.2366,201
20211400005000,34.5777,-57.9533,265
20211400005200,30.6215,-54.224,72
20211400005200,30.8041,-52.0096,3812
20211400005400,30.3792,-54.1976,806
20211400006000,28.3455,-52.5423,2378
20211400006400,30.3784,-54.2107,24
20211400006400,30.6318,-54.1967,1379
20211400006400,29.2353,-52.8659,490
20211400006400,34.5652,-57.9503,608
20211400007200,30.3823,-54.1532,2778
20211400007400,30.8042,-54.9254,448
20211400007400,30.6404,-54.1949,743
20211400008000,30.4161,-54.1876,27
20211400008200,30.8427,-54.9152,101
20211400008200,30.3766,-54.1979,40
20211400009000,30.6301,-54.1804,2640
20211400009200,30.827,-52.0916,1563
20211400009400,30.3904,-54.1875,230
20211400010400,30.8897,-54.8911,2579
20211400010400,30.9573,-54.9317,1228
20211400010400,30.7078,-54.1584,2067
20211400010400,30.8422,-52.1226,162
20211400010400,30.1956,-52.9255,3461
20211400010400,30.4111,-54.1757,109
20211400011200,30.1774,-52.9793,21
20211400011400,30.8719,-54.877,341
20211400012000,30.1983,-52.9461,328
20211400012000,30.4083,-54.183,500
20211400012200,30.6726,-54.1886,446
20211400012200,30.177,-52.9535,146
20211400012400,30.9232,-54.8808,250
20211400013000,30.8158,-52.0811,528
20211400013000,30.2022,-52.9341,183
20211400013400,30.1867,-52.9562,130
20211400014200,30.2178,-52.9113,86
20211400014200,30.4688,-54.0799,872
20211400015000,28.1574,-52.6931,622
20211400015000,30.1108,-55.1024,343
20211400015400,30.196,-52.9262,393
20211400016000,30.1131,-55.1087,38
20211400016400,29.9946,-53.1489,346
20211400017000,30.1147,-55.0955,130
20211400017200,30.19,-52.9354,449
20211400018000,30.1389,-55.0834,62
20211400019200,28.1769,-52.6322,396
20211400019200,26.6865,-53.3334,129
20211400019400,30.9445,-54.8892,2891
20211400019400,30.9033,-54.8361,13
20211400020000,30.2311,-52.929,1151
20211400020200,28.0668,-52.4852,24
20211400020400,28.0691,-52.4363,6
20211400021000,30.022,-53.1403,515
20211400021000,28.0739,-52.4894,23
20211400021000,28.1918,-52.6237,144
20211400021200,28.0706,-52.4672,89
20211400021400,30.815,-52.1235,1147
20211400021400,30.3028,-55.0423,3642
20211400022200,30.2072,-52.9002,289
20211400022200,28.0725,-52.4418,181
